English,Marathi
fourth,चौथा
dry,कोरडे
disappear,अदृश्य
abuse,गैरवर्तन
chicken,कोंबडी
obtain,मिळवा
map,नकाशा
carefully,काळजीपूर्वक
close,बंद
increasingly,#VALUE!
greatest,महान
complex,कॉम्प्लेक्स
metal,धातू
lead,आघाडी
above,वरील
jury,जूरी
sweet,गोड
proposal,प्रस्ताव
impossible,अशक्य
scientific,#VALUE!
ticket,तिकिट
leaf,पान
classroom,वर्ग
surround,सभोवताल
lunch,लंच
alone,एकटा
meaning,अर्थ
injury,इजा
invite,आमंत्रित करा
enemy,शत्रू
repeat,पुन्हा करा
bear,अस्वल
lip,ओठ
mayor,महापौर
award,पुरस्कार
attempt,प्रयत्न
commitment,वचनबद्धता
consequence,परिणाम
instruction,सूचना
surprise,आश्चर्य
poll,मतदान
favorite,आवडते
explore,#VALUE!
predict,अंदाज
adopt,दत्तक
sight,दृष्टी
storm,वादळ
half,अर्धा
assessment,मूल्यांकन
weather,हवामान
pocket,खिसा
aid,मदत
reading,वाचन
thin,पातळ
soul,आत्मा
strange,विचित्र
married,विवाहित
organize,संघटित
conclusion,निष्कर्ष
fuel,इंधन
urban,शहरी
belong,#VALUE!
salt,मीठ
farmer,शेतकरी
straight,सरळ
advice,सल्ला
cover,कव्हर
balance,शिल्लक
temperature,तापमान
empty,रिक्त
conclude,#VALUE!
somehow,कसा तरी
presidential,अध्यक्षीय
limit,मर्यादा
prime,प्राइम
breast,स्तन
desk,डेस्क
record,विक्रम
breath,श्वास
theater,थिएटर
under,खाली
acknowledge,कबूल करा
theme,थीम
fat,चरबी
software,सॉफ्टवेअर
sugar,साखर
educational,शैक्षणिक
thousand,हजार
code,कोड
fear,भीती
connect,कनेक्ट करा
yellow,पिवळा
instrument,साधन
Japanese,जपानी
panel,पॅनेल
library,लायब्ररी
expensive,महाग
emotional,भावनिक
engine,इंजिन
propose,प्रस्ताव
mental,वेडा
difficulty,अडचण
train,ट्रेन
brown,तपकिरी
basically,मूलभूतपणे
last,शेवटचे
average,सरासरी
ring,रिंग
mark,चिन्हांकित करा
locate,शोधून काढणे
search,शोध
largely,मोठ्या प्रमाणात
possibly,शक्यतो
anymore,यापुढे
generate,उत्पन्न करा
regional,प्रादेशिक
obvious,स्पष्ट
angry,राग
analyst,विश्लेषक
accident,अपघात
trend,ट्रेंड
like,आवडले
appearance,देखावा
currently,सध्या
shadow,सावली
being,अस्तित्व
moon,चंद्र
bridge,पूल
but,परंतु
recommend,शिफारस करा
hearing,सुनावणी
fruit,फळ
dance,नृत्य
shift,शिफ्ट
comfortable,आरामदायक
struggle,संघर्ष
revenue,महसूल
notion,कल्पना
okay,ठीक आहे
package,पॅकेज
ought,पाहिजे
traffic,रहदारी
internal,अंतर्गत
prefer,प्राधान्य
crew,क्रू
search,शोध
profit,नफा
regulation,नियमन
link,दुवा
thinking,विचार
hardly,महत्प्रयासाने
airport,विमानतळ
human,मानवी
extremely,अत्यंत
sick,आजारी
capture,कॅप्चर
unique,अद्वितीय
actual,वास्तविक
chest,छाती
meal,जेवण
beauty,#VALUE!
extent,#VALUE!
defend,बचाव
visitor,अभ्यागत
outside,#VALUE!
judge,न्यायाधीश
dozen,डझन
declare,घोषित करा
emergency,आणीबाणी
ad,एडी
truly,खरोखर
planet,ग्रह
select,निवडा
ethnic,जातीय
nose,नाक
loan,कर्ज
cash,रोख
contribution,योगदान
slow,हळू
contrast,कॉन्ट्रास्ट
bottle,बाटली
launch,लॉन्च
novel,कादंबरी
feature,वैशिष्ट्य
duty,कर्तव्य
root,मूळ
content,सामग्री
component,घटक
appreciate,कौतुक
circumstance,परिस्थिती
teaching,शिक्षण
paint,रंग
matter,बाब
thick,जाड
cat,मांजर
neither,नाही
standard,मानक
ourselves,स्वतः
correct,योग्य
warn,चेतावणी द्या
capacity,क्षमता
challenge,आव्हान
convention,अधिवेशन
politician,राजकारणी
pursue,पाठपुरावा
setting,सेटिंग
zone,झोन
dress,ड्रेस
pilot,पायलट
ensure,#VALUE!
ultimately,शेवटी
male,नर
wake,वेक
shirt,शर्ट
influence,प्रभाव
guide,#VALUE!
AIDS,एड्स
mix,मिसळा
slip,स्लिप
steal,चोरी
late,उशीरा
frequently,वारंवार
blame,दोष
sheet,पत्रक
estimate,अंदाज
relief,मदत
combination,संयोजन
investor,गुंतवणूकदार
due,देय
silence,शांतता
manner,पद्धती
muscle,स्नायू
branch,शाखा
chain,साखळी
long,लांब
telephone,टेलिफोन
investigate,चौकशी
German,जर्मन
percentage,टक्केवारी
outcome,परिणाम
estate,इस्टेट
forth,पुढे
stress,ताण
equal,समान
English,इंग्रजी
welfare,कल्याण
typical,ठराविक
crazy,वेडा
except,वगळता
funny,मजेदार
meat,मांस
appeal,अपील
long-term,दीर्घकालीन
official,अधिकृत
eliminate,काढून टाका
used,वापरले
motion,गती
complain,तक्रार
row,पंक्ती
Jewish,#VALUE!
kick,किक
snow,बर्फ
producer,निर्माता
solve,सोडवा
just,फक्त
issue,मुद्दा
opposition,विरोधी
basketball,बास्केटबॉल
rely,विश्वास ठेवा
conservative,पुराणमतवादी
trust,विश्वास
back,मागे
address,पत्ता
mirror,आरसा
tank,टाकी
range,#VALUE!
significantly,लक्षणीय
somewhat,काहीसे
attract,आकर्षित करा
anywhere,कोठेही
regime,शासन
fix,निराकरण
entirely,संपूर्णपणे
afford,परवाना
length,#VALUE!
secret,गुप्त
pleasure,आनंद
file,फाईल
tooth,दात
confirm,पुष्टी
separate,विभक्त
golden,गोल्डन
photograph,फोटो
meanwhile,दरम्यान
except,वगळता
now,आता
channel,चॅनल
bedroom,बेडरूम
requirement,आवश्यकता
ancient,प्राचीन
coverage,कव्हरेज
trail,माग
bear,अस्वल
host,होस्ट
his,त्याचा
check,तपासा
stand,उभे रहा
surgery,शस्त्रक्रिया
perception,समज
rare,#VALUE!
struggle,संघर्ष
era,#VALUE!
grant,अनुदान
file,फाईल
ocean,महासागर
seriously,गंभीरपणे
clear,स्पष्ट
confidence,आत्मविश्वास
aside,बाजूला
tear,अश्रू
judgment,निर्णय
industrial,औद्योगिक
expectation,अपेक्षा
resolution,ठराव
copy,कॉपी
wing,विंग
doubt,शंका
fun,मजा
totally,पूर्णपणे
pour,ओतणे
gender,लिंग
surprised,आश्चर्य
beer,बिअर
clean,स्वच्छ
score,स्कोअर
bond,बाँड
plus,अधिक
debt,कर्ज
smart,स्मार्ट
English,इंग्रजी
terrible,भयानक
witness,साक्षीदार
reference,संदर्भ
account,खाते
separate,विभक्त
mean,म्हणजे
vice,वाईस
black,काळा
rest,उर्वरित
hero,नायक
bomb,बॉम्ब
below,खाली
rating,रेटिंग
busy,#VALUE!
cite,उद्धृत
corporation,कॉर्पोरेशन
representative,प्रतिनिधी
everywhere,#VALUE!
soil,#VALUE!
highway,महामार्ग
frame,फ्रेम
stretch,ताणून लांब करणे
oppose,#VALUE!
Catholic,कॅथोलिक
cloud,ढग
initial,प्रारंभिक
variable,चल
essential,अत्यावश्यक
travel,प्रवास
improvement,सुधारणा
opening,उघडत आहे
necessarily,अपरिहार्यपणे
nurse,नर्स
incident,घटना
abortion,गर्भपात
divide,विभाजन
aim,ध्येय
tired,थकलेले
careful,#VALUE!
question,प्रश्न
cheap,#VALUE!
beside,बाजूला
apart,बाजूला
criminal,गुन्हेगार
employ,रोजगार
rush,गर्दी
user,वापरकर्ता
upper,वरील
winner,विजेता
fashion,फॅशन
tip,टीप
apple,Apple पल
rise,उदय
vast,विशाल
specifically,विशेषत
limited,मर्यादित
enormous,प्रचंड
holiday,सुट्टी
e-mail,ई-मेल
emphasize,जोर द्या
merely,#VALUE!
dance,नृत्य
core,कोअर
match,सामना
landscape,लँडस्केप
overall,एकंदरीत
golf,गोल्फ
lack,कमतरता
virtually,अक्षरशः
route,मार्ग
flow,प्रवाह
fewer,कमी
cable,केबल
gate,गेट
tie,टाय
proud,अ भी मा न
promise,वचन
dish,ताटली
beneath,खाली
increased,वाढले
succeed,यशस्वी
barely,केवळ
narrow,अरुंद
solid,घन
contemporary,समकालीन
accuse,आरोप
unfortunately,दुर्दैवाने
useful,उपयुक्त
noise,आवाज
expose,एक्सपोज करा
mass,वस्तुमान
multiple,एकाधिक
vegetable,भाजी
seed,बियाणे
reject,नाकारणे
decline,नाकारणे
experiment,प्रयोग
legislation,कायदे
hat,टोपी
either,एकतर
secret,गुप्त
massive,भव्य
grass,गवत
definitely,नक्कीच
closer,जवळ
liberal,उदारमतवादी
stir,नीट ढवळून घ्यावे
captain,कॅप्टन
revolution,क्रांती
typically,सामान्यत:
sector,क्षेत्र
hand,हात
approve,मंजूर
uncle,काका
volume,खंड
explanation,#VALUE!
sentence,वाक्य
escape,सुटका
unusual,असामान्य
distribution,वितरण
rural,ग्रामीण
cast,#VALUE!
drink,पेय
sleep,झोप
household,घरगुती
celebrate,साजरा करणे
taste,चव
characteristic,वैशिष्ट्यपूर्ण
outside,#VALUE!
addition,या व्यतिरिक्त
acquire,घेणे
closely,जवळून
proper,योग्य
tone,टोन
topic,विषय
towards,च्या दिशेने
waste,कचरा
wheel,चाक
athlete,धावपटू
convince,खात्री द्या
alternative,पर्यायी
pepper,मिरपूड
cream,#VALUE!
land,#VALUE!
technical,तांत्रिक
square,#VALUE!
plenty,भरपूर
behind,मागे
invest,गुंतवणूक
mind,मन
potential,संभाव्य
regard,संदर्भ
intervention,हस्तक्षेप
illegal,#VALUE!
lower,लोअर
compete,स्पर्धा
talent,प्रतिभा
guilty,दोषी
living,जिवंत
milk,दूध
height,उंची
list,यादी
live,राहतात
assistance,सहाय्य
personality,व्यक्तिमत्व
Israeli,इस्त्रायली
gay,समलिंगी
forever,#VALUE!
assess,मूल्यांकन करा
weak,कमकुवत
female,#VALUE!
cigarette,सिगारेट
permit,परवानगी
passenger,प्रवासी
criticism,टीका
twenty,वीस
honor,सन्मान
creative,सर्जनशील
offer,ऑफर
knock,ठोका
display,प्रदर्शन
campus,कॅम्पस
definition,व्याख्या
gray,राखाडी
signal,सिग्नल
warning,चेतावणी
physician,डॉक्टर
column,स्तंभ
interaction,परस्परसंवाद
dramatic,नाट्यमय
review,पुनरावलोकन
republic,प्रजासत्ताक
primarily,प्रामुख्याने
priority,प्राधान्य
achievement,यश
fun,मजा
request,विनंती
wrap,लपेटणे
engineer,अभियंता
rice,तांदूळ
scholar,#VALUE!
airline,एअरलाइन्स
expense,खर्च
observation,निरीक्षण
gap,अंतर
agenda,अजेंडा
creation,#VALUE!
drag,ड्रॅग
suspect,संशयित
fishing,मासेमारी
bread,ब्रेड
hi,हाय
unable,अक्षम
scream,किंचाळणे
journalist,पत्रकार
constitution,घटना
lucky,भाग्यवान
excellent,उत्कृष्ट
mass,वस्तुमान
payment,देय
deep,खोल
selection,निवड
lab,लॅब
arrest,अटक
deeply,खोलवर
sad,दु: खी
childhood,बालपण
suppose,समजा
fairly,प्रामाणिकपणे
prosecutor,फिर्यादी
violent,हिंसक
recover,पुनर्प्राप्त
roof,छप्पर
amendment,दुरुस्ती
emotion,भावना
existing,विद्यमान
far,खूप दूर
graduate,पदवीधर
factory,कारखाना
schedule,वेळापत्रक
avenue,Venue व्हेन्यू
spiritual,अध्यात्मिक
ride,राइड
wash,धुवा
planning,नियोजन
self,#VALUE!
later,नंतर
shout,ओरडणे
silent,मूक
brief,संक्षिप्त
error,त्रुटी
widely,व्यापकपणे
description,वर्णन
dark,गडद
immediate,त्वरित
purchase,#VALUE!
leading,अग्रगण्य
funding,निधी
settlement,सेटलमेंट
prayer,#VALUE!
initiative,पुढाकार
coalition,युती
comparison,तुलना
portion,भाग
opponent,विरोधक
tension,तणाव
chapter,धडा
bother,त्रास
curriculum,अभ्यासक्रम
consist,समाविष्ट करा
immigrant,परदेशातून कायमची वस्ती करण्यासाठी येणारा किंवा आलेला
enable,सक्षम करा
faculty,#VALUE!
steel,स्टील
desert,वाळवंट
asset,मालमत्ता
slow,हळू
housing,गृहनिर्माण
transform,परिवर्तन
regarding,संबंधित
perceive,लक्षात घ्या
depression,औदासिन्य
inform,माहिती
formal,औपचारिक
abandon,सोडून द्या
release,सोडणे
chip,चिप
double,दुहेरी
remaining,उर्वरित
existence,अस्तित्व
cheese,चीज
link,दुवा
joint,संयुक्त
savings,बचत
rule,नियम
preserve,जतन करा
diet,आहार
territory,प्रदेश
tea,चहा
bend,वाकणे
gain,मिळवा
arrange,व्यवस्था
resolve,संकल्प
walk,चाला
passage,रस्ता
lock,लॉक
tear,अश्रू
resistance,प्रतिकार
present,#VALUE!
stream,प्रवाह
slide,स्लाइड
green,हिरवा
sharp,तीक्ष्ण
display,प्रदर्शन
cycle,चक्र
pose,पोज
phase,टप्पा
transition,संक्रमण
reduction,कपात
negotiation,वाटाघाटी
manufacturer,निर्माता
interview,मुलाखत
quote,कोट
deserve,पात्र
trust,विश्वास
sale,विक्री
layer,थर
wedding,लग्न
discovery,शोध
mine,माझे
academy,अकादमी
sand,वाळू
hit,दाबा
missile,क्षेपणास्त्र
elect,निवडून घ्या
climate,हवामान
participation,सहभाग
knife,चाकू
benefit,फायदा
atmosphere,वातावरण
joke,विनोद
urge,आग्रह
ordinary,सामान्य
visual,#VALUE!
numerous,असंख्य
occasion,प्रसंग
philosophy,तत्वज्ञान
suicide,आत्महत्या
shall,शेल
glad,आनंद
goods,वस्तू
moreover,शिवाय
coat,कोट
consistent,सातत्य
alcohol,अल्कोहोल
opposite,उलट
cop,कॉप
universe,विश्व
breathe,श्वास
practical,व्यावहारिक
therapy,उपचार
shift,शिफ्ट
racial,वांशिक
elsewhere,इतरत्र
rarely,क्वचितच
essentially,मूलत:
discipline,शिस्त
reply,प्रत्युत्तर द्या
Mexican,मेक्सिकन
passion,आवड
tale,कथा
dust,धूळ
kiss,चुंबन
iron,लोह
independence,स्वातंत्र्य
contact,संपर्क
Spanish,स्पॅनिश
advance,प्रगती
pot,भांडे
potato,बटाटा
motor,मोटर
pack,पॅक
dominate,वर्चस्व
marketing,विपणन
disaster,आपत्ती
exposure,#VALUE!
complaint,तक्रार
cap,कॅप
congressional,कॉंग्रेसल
jacket,जाकीट
intense,तीव्र
touch,स्पर्श
for,च्या साठी
impose,लादणे
electric,इलेक्ट्रिक
implement,अंमलबजावणी
enforcement,अंमलबजावणी
analyze,विश्लेषण
sure,नक्की
retire,सेवानिवृत्त
deficit,#VALUE!
emphasis,जोर
concentrate,लक्ष केंद्रित
accomplish,साध्य करा
previously,पूर्वी
symbol,चिन्ह
bureau,ब्यूरो
laboratory,प्रयोगशाळा
attach,संलग्न करा
fundamental,मूलभूत
whenever,जेव्हाही
arrangement,व्यवस्था
investigator,अन्वेषक
mark,चिन्हांकित करा
another,दुसरा
shock,#VALUE!
adjust,समायोजित करा
employer,#VALUE!
visible,दृश्यमान
pass,पास
priest,पुजारी
volunteer,#VALUE!
interpretation,व्याख्या
entertainment,करमणूक
habit,सवय
illustrate,स्पष्ट करा
equally,तितकेच
prospect,प्रॉस्पेक्ट
enhance,वाढविण्यासाठी
severe,#VALUE!
other,इतर
monitor,मॉनिटर
amazing,आश्चर्यकारक
poverty,गरीबी
increasing,वाढत आहे
boss,बॉस
inspire,प्रेरणा
anger,राग
heavily,जोरदारपणे
parking,पार्किंग
print,मुद्रण
maker,मेकर
involvement,सहभाग
queen,राणी
gene,जीन
vary,भिन्न
approximately,अंदाजे
gallery,गॅलरी
evaluate,मूल्यांकन करा
fat,चरबी
trade,व्यापार
transfer,हस्तांतरण
exercise,व्यायाम
usual,नेहमीच्या
mystery,गूढ
entry,प्रविष्टी
ring,रिंग
mood,मूड
bean,बीन
still,अजूनही
objective,उद्दीष्ट
capable,सक्षम
constant,स्थिर
light,प्रकाश
substance,पदार्थ
total,एकूण
strongly,जोरदारपणे
exception,अपवाद
commander,कमांडर
spending,खर्च करणे
crucial,निर्णायक
acre,एकर
wire,वायर
command,आज्ञा
nervous,चिंताग्रस्त
cross,फुली
so-called,तथाकथित
competitive,स्पर्धात्मक
Asian,आशियाई
tower,टॉवर
veteran,अनुभवी
creature,प्राणी
smoke,धूर
Arab,अरब
prince,प्रिन्स
alliance,युती
transportation,वाहतूक
stop,थांबवा
luck,नशीब
symptom,लक्षणं
bury,दफन
clinic,चिकित्सालय
illness,आजार
championship,चॅम्पियनशिप
prisoner,कैदी
reputation,प्रतिष्ठा
edition,संस्करण
juice,रस
sauce,सॉस
peak,शिखर
confront,सामना
breakfast,न्याहारी
recognition,ओळख
smell,गंध
ally,सहयोगी
pure,शुद्ध
toy,टॉय
salary,पगार
electronic,इलेक्ट्रॉनिक
bathroom,स्नानगृह
surely,नक्कीच
psychological,मानसशास्त्रीय
evaluation,मूल्यांकन
dimension,परिमाण
block,ब्लॉक
race,शर्यत
personnel,#VALUE!
belt,बेल्ट
accompany,सोबत
implication,परिणाम
album,#VALUE!
perfectly,उत्तम प्रकारे
strike,संप
jet,जेट
hello,नमस्कार
shape,आकार
relative,नातेवाईक
tourist,पर्यटक
phenomenon,इंद्रियगोचर
fellow,फेलो
toss,टॉस
publication,प्रकाशन
nearby,जवळपास
consideration,विचार
rather,त्याऐवजी
holy,पवित्र
enterprise,उपक्रम
due,देय
inner,आतील
watch,पहा
Indian,भारतीय
pray,प्रार्थना
creek,खाडी
supply,पुरवठा
boot,बूट
whisper,कुजबुज
resist,प्रतिकार करा
journey,प्रवास
flag,झेंडा
disorder,डिसऑर्डर
designer,डिझाइनर
literally,शब्दशः
apparent,उघड
permanent,कायम
angle,कोन
smooth,गुळगुळीत
unlike,विपरीत
tablespoon,चमचे
smoke,धूर
consultant,सल्लागार
twin,जुळ्या
favor,अनुकूलता
throat,घसा
construct,बांधकाम
birthday,वाढदिवस
soon,लवकरच
swing,स्विंग
supporter,समर्थक
testing,चाचणी
reasonable,वाजवी
mail,मेल
silver,चांदी
retirement,सेवानिवृत्ती
sensitive,संवेदनशील
gentleman,गृहस्थ
navy,नौदल
terrorism,दहशतवाद
occasionally,कधीकधी
glance,दृष्टीक्षेप
observer,निरीक्षक
constantly,सतत
bind,बंधन
wet,ओले
line,ओळ
dig,खोद
quit,सोडा
digital,#VALUE!
straight,सरळ
vs,वि
assist,सहाय्य करा
employment,रोजगार
suggestion,सूचना
rapidly,वेगाने
estimate,अंदाज
embrace,आलिंगन
junior,कनिष्ठ
stomach,पोट
extreme,#VALUE!
pretty,सुंदर
mine,माझे
recovery,पुनर्प्राप्ती
negotiate,वाटाघाटी
impression,छाप
wage,वेतन
fifth,#VALUE!
FALSE,खोटे
count,गणना
pink,गुलाबी
absence,अनुपस्थिती
aggressive,आक्रमक
corn,कॉर्न
mixture,मिश्रण
substantial,भरीव
grandmother,आजी
quietly,शांतपणे
jail,तुरूंग
specialist,विशेषज्ञ
dealer,विक्रेता
poem,कविता
butter,लोणी
conventional,पारंपारिक
pace,#VALUE!
intention,हेतू
peer,सरदार
restore,पुनर्संचयित करा
wooden,लाकडी
criticize,टीका
nevertheless,तथापि
approval,मान्यता
historic,ऐतिहासिक
secure,सुरक्षित
preparation,तयारी
Latin,लॅटिन
lord,परमेश्वर
teaspoon,चमचे
musical,#VALUE!
weigh,#VALUE!
comment,टिप्पणी
pan,पॅन
assure,आश्वासन
viewer,दर्शक
arise,उद्भवू
administrator,प्रशासक
immigration,इमिग्रेशन
plant,वनस्पती
honest,प्रामाणिक
origin,मूळ
giant,राक्षस
diversity,विविधता
tomato,टोमॅटो
advise,सल्ला
biological,#VALUE!
shell,शेल
essay,निबंध
roll,रोल
historian,इतिहासकार
deputy,डेप्युटी
date,तारीख
effectively,प्रभावीपणे
fast,वेगवान
schedule,वेळापत्रक
buck,बोकड
tube,ट्यूब
refugee,निर्वासित
depth,खोली
flat,फ्लॅट
precisely,तंतोतंत
mad,वेडा
alternative,पर्यायी
disability,दिव्यांग
destruction,विनाश
dream,स्वप्न
drop,थेंब
assumption,गृहितक
normally,साधारणपणे
angel,देवदूत
pop,पॉप
criteria,निकष
minor,किरकोळ
crop,पीक
barrier,#VALUE!
assign,नियुक्त
elementary,प्राथमिक
valuable,मौल्यवान
testimony,साक्ष
stake,धोक्याचे
concert,मैफिल
label,लेबल
routine,दिनचर्या
wealth,संपत्ती
professional,व्यावसायिक
gang,टोळी
incorporate,समाविष्ट करा
brand,ब्रँड
recipe,कृती
vacation,सुट्टी
utility,उपयुक्तता
satellite,उपग्रह
extraordinary,विलक्षण
wave,वेव्ह
ultimate,अंतिम
chemical,रासायनिक
advocate,वकिली
wonder,आश्चर्य
educator,शिक्षक
cake,केक
phrase,वाक्यांश
yell,ओरड
personally,वैयक्तिकरित्या
respondent,प्रतिसादकर्ता
Palestinian,पॅलेस्टाईन
classic,क्लासिक
snap,स्नॅप
via,मार्गे मार्गे
lawsuit,खटला
install,#VALUE!
sweep,स्वीप
festival,उत्सव
draft,मसुदा
heaven,स्वर्ग
switch,स्विच
activist,कार्यकर्ता
ceiling,कमाल मर्यादा
clock,घड्याळ
graduate,पदवीधर
aunt,काकू
darkness,अंधार
daddy,बाबा
royal,रॉयल
advertising,जाहिरात
rough,उग्र
pregnant,गर्भवती
penalty,दंड
distant,दूरचे
developing,विकसनशील
yield,उत्पन्न
wind,वारा
armed,सशस्त्र
mechanism,यंत्रणा
rank,श्रेणी
killer,किलर
fence,कुंपण
ahead,पुढे
universal,सार्वत्रिक
terror,दहशत
wolf,लांडगा
house,घर
anxiety,चिंता
chemical,रासायनिक
found,आढळले
protein,प्रथिने
engineering,अभियांत्रिकी
clothing,कपडे
proceed,पुढे जा
fiber,फायबर
react,प्रतिक्रिया द्या
bottom,तळाशी
spin,स्पिन
roughly,साधारणपणे
drama,नाटक
liberty,स्वातंत्र्य
ingredient,#VALUE!
hip,हिप
provision,तरतूद
burden,ओझे
teen,किशोर
survival,सर्व्हायव्हल
unlikely,अशक्य
Italian,इटालियन
chamber,खोली
lost,हरवले
communicate,#VALUE!
stupid,#VALUE!
bet,पैज
advance,प्रगती
Muslim,मुसलमान
bell,घंटा
onion,कांदा
disagree,सहमत नाही
encounter,सामना
constitutional,घटनात्मक
cabinet,कपाट
remarkable,#VALUE!
broken,#VALUE!
latter,नंतरचे
overcome,मात
virus,#VALUE!
stranger,अनोळखी
retain,टिकवून ठेवा
match,सामना
prize,बक्षीस
string,स्ट्रिंग
exhibition,प्रदर्शन
expansion,विस्तार
tremendous,प्रचंड
bunch,घड
assistant,सहाय्यक
initially,सुरुवातीला
accurate,अचूक
cheek,गाल
index,अनुक्रमणिका
occupy,व्यापू
gear,गियर
guarantee,हमी
chocolate,चॉकलेट
ceremony,सोहळा
button,बटण
shopping,खरेदी
pay,वेतन
dispute,वाद
like,आवडले
furniture,#VALUE!
marine,सागरी
statistics,आकडेवारी
Olympic,ऑलिम्पिक
balance,शिल्लक
wipe,पुसून टाका
spokesman,प्रवक्ता
super,उत्कृष्ट
Islamic,इस्लामिक
track,ट्रॅक
translate,भाषांतर
interpret,व्याख्या करा
testify,साक्ष द्या
cooperation,सहकार्य
friendly,अनुकूल
profile,प्रोफाइल
pants,#VALUE!
whereas,तथापि
honor,सन्मान
elite,अभिजन
decline,नाकारणे
port,बंदर
complicated,क्लिष्ट
cousin,चुलतभावा
strategic,सामरिक
terrorist,दहशतवादी
chart,चार्ट
drawing,रेखांकन
though,तरी
gently,हळूवारपणे
pack,पॅक
odd,विचित्र
incentive,प्रोत्साहन
innocent,निर्दोष
imply,सूचित करा
taste,चव
stadium,स्टेडियम
scenario,परिस्थिती
shooting,शूटिंग
blind,आंधळे
assembly,असेंब्ली
withdraw,माघार घ्या
strip,पट्टी
market,बाजार
lover,प्रियकर
process,प्रक्रिया
mainly,मुख्यतः
aircraft,विमान
newly,नवीन
ideal,आदर्श
dirt,घाण
flow,प्रवाह
boundary,सीमा
resort,रिसॉर्ट
genetic,अनुवांशिक
stick,काठी
concentration,एकाग्रता
naturally,नैसर्गिकरित्या
ministry,मंत्रालय
surprising,#VALUE!
adviser,सल्लागार
recommendation,शिफारस
similarly,त्याचप्रमाणे
justify,औचित्य सिद्ध करा
wildlife,वन्यजीव
bench,खंडपीठ
bullet,बंदूकीची गोळी
mode,मोड
square,#VALUE!
champion,चॅम्पियन
dismiss,काढून टाकणे
deck,डेक
lifetime,आजीवन
extensive,विस्तृत
attractive,आकर्षक
politically,राजकीयदृष्ट्या
regularly,नियमितपणे
raw,कच्चा
fault,दोष
clinical,क्लिनिकल
detect,शोध
considerable,लक्षणीय
working,कार्यरत
partly,अंशतः
platform,प्लॅटफॉर्म
remote,दूरस्थ
blue,निळा
respect,आदर
top,शीर्ष
fortune,भाग्य
slave,गुलाम
delivery,वितरण
worth,किमतीची
reflection,प्रतिबिंब
relevant,संबंधित
unknown,अज्ञात
pause,विराम द्या
likely,शक्यता
tissue,ऊतक
sink,बुडणे
counter,काउंटर
Bible,बायबल
license,परवाना
tragedy,शोकांतिका
assistant,सहाय्यक
dialogue,संवाद
mutual,परस्पर
loose,सैल
external,बाह्य
pride,अभिमान
awareness,जागरूकता
electricity,#VALUE!
diverse,वैविध्यपूर्ण
advanced,प्रगत
free,फुकट
faster,#VALUE!
conservative,पुराणमतवादी
online,ऑनलाइन
assault,हल्ला
shortly,लवकरच
finance,वित्त
originally,मूलतः
founder,संस्थापक
lie,खोटे बोलणे
characterize,वैशिष्ट्यीकृत
protest,निषेध
pole,ध्रुव
intellectual,बौद्धिक
communist,कम्युनिस्ट
infection,संसर्ग
controversy,वाद
double,दुहेरी
freeze,गोठवा
portrait,पोर्ट्रेट
proof,पुरावा
satisfaction,समाधान
insight,अंतर्दृष्टी
headquarters,मुख्यालय
stair,जिना
crash,आपटी
constitute,स्थापना
thirty,तीस
alter,बदल
sudden,अचानक
not,नाही
potentially,संभाव्य
dirty,गलिच्छ
evolve,विकसित
teenager,किशोरवयीन
violation,उल्लंघन
joy,आनंद
smell,गंध
possess,ताब्यात घ्या
hurricane,चक्रीवादळ
offense,गुन्हा
relax,आराम
appeal,अपील
mount,माउंट
treaty,करार
prior,#VALUE!
memorial,स्मारक
establishment,स्थापना
hold,धरून ठेवा
tap,टॅप करा
swim,पोहणे
properly,व्यवस्थित
gulf,आखाती
tongue,जीभ
salad,कोशिंबीर
practice,सराव
favorite,आवडते
shelter,निवारा
correspondent,संवाददाता
introduction,परिचय
funeral,अंत्यसंस्कार
literary,साहित्य
convert,रूपांतरित करा
violate,उल्लंघन
rub,घासणे
entrance,प्रवेश
episode,भाग
tournament,स्पर्धा
vital,महत्वाचा
stable,स्थिर
split,विभाजन
representation,प्रतिनिधित्व
stress,ताण
fiction,कल्पनारम्य
lane,लेन
distinction,भेद
segment,विभाग
transfer,हस्तांतरण
comprehensive,सर्वसमावेशक
confident,आत्मविश्वास
easy,सुलभ
prominent,प्रमुख
presentation,सादरीकरण
net,नेट
squeeze,पिळून घ्या
tobacco,तंबाखू
significance,महत्त्व
imagination,कल्पना
pretend,ढोंग करा
mere,मेरे
mix,मिसळा
spot,स्पॉट
fade,फिकट
steady,स्थिर
neither,नाही
target,लक्ष्य
nowhere,कोठेही नाही
variation,भिन्नता
radical,संपूर्ण
adventure,साहस
profession,व्यवसाय
exciting,रोमांचक
fate,नशिब
regardless,पर्वा न करता
load,लोड
singer,#VALUE!
distribute,वितरण
ton,टन
instance,उदाहरण
affiliation,संलग्नता
hunting,शिकार
pale,फिकट गुलाबी
paint,रंग
poet,#VALUE!
gradually,हळूहळू
partnership,भागीदारी
capability,क्षमता
Canadian,कॅनेडियन
tech,#VALUE!
commerce,वाणिज्य
grandfather,आजोबा
bake,बेक करावे
shelf,शेल्फ
honey,मध
round,गोल
flee,पळून जा
adapt,परिस्थितीशी जुळवून घ्या
buyer,खरेदीदार
divorce,घटस्फोट
defensive,बचावात्मक
bombing,#VALUE!
scared,घाबरलेले
gesture,हावभाव
poetry,कविता
